stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\marth\Documents\GitHub\TP5-EDA\TP5EDA\Debug\allegro5.cfg r
system   D            wsystem.c:738  maybe_parent_dir                 [   0.00000] Also searching C:\Users\marth\Documents\GitHub\TP5-EDA\TP5EDA\
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:699  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:702  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:264  al_install_system                [   0.00000] Allegro version: 5.2.4
system   D            wsystem.c:738  maybe_parent_dir                 [   0.00031] Also searching C:\Users\marth\Documents\GitHub\TP5-EDA\TP5EDA\
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.00052] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:699  load_library_at_path             [   0.00055] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:702  load_library_at_path             [   0.00535] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.07738] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1768 d3d_create_display_locked        [   0.07846] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.07850] al_display=030FEA68
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.07854] al_display->vt=030DB690
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.10758] found 288 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.10764] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10769] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10773] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10777] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10781] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10785] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.10788] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10793] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.10796] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10801] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.10805] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10809] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.10813] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10840] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.10844] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
